Text,Context,Text start char,Text end char,Context start char,Context end char,Is Quote,Speaker
Not that hard Mrs,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The",1,22,1,578,True,
Plithiver piped up,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well",23,42,1,606,False,
"Hardest thing Ive ever done

You the male Masked Owl exclaimed","Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just",43,113,1,696,False,
She certainly had nothing to do with the defeat of the crows,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids",115,177,1,757,True,
Shes a nestmaid his mate said in a haughty voice,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her",178,231,1,828,True,
Mrs,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The",18,22,1,578,False,
Plithiver seemed to fade a bit,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver",238,269,1,859,False,
She nudged one of the worms that had begun to crawl off Diggers wing,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes",270,340,1,947,False,
She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time",342,449,1,1063,False,
If it hadnt been for Mrs,"Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party",450,477,1,1099,True,
"I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked","Not that hard Mrs Plithiver piped up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",482,599,1,1164,False,
Well,"d up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",600,606,37,1164,True,
well The large female chuffed and stepped nervously from one talon to another,"Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",607,687,43,1164,True,
We just arent used to such aggressive behavior from our nestmaids,"Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",688,757,99,1164,True,
Ours are rather meek,"Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",758,779,178,1164,True,
I guess,"maid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",780,788,190,1164,True,
"compared to thisWhat do you call her

Her name is Mrs"," his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",789,847,196,1164,True,
Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed,"to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",848,941,255,1164,False,
Yes,"wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",943,948,335,1164,True,
yes the female replied nervously,"She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",949,984,343,1164,False,
Well,"d up Hardest thing Ive ever done

You the male Masked Owl exclaimed

She certainly had nothing to do with the defeat of the crows Shes a nestmaid his mate said in a haughty voice

Mrs Plithiver seemed to fade a bit She nudged one of the worms that had begun to crawl off Diggers wing

She had everything to do with it Soren bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",600,606,37,1164,True,
we discourage our nestmaids from socially mingling with us at any time,"bristled up and suddenly seemed almost as big as the Masked Owls If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",992,1064,384,1164,True,
"really

That was hardly a party","If it hadnt been for Mrs P I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",1065,1100,451,1164,False,
what happened up there in the sky," I would have been divebombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",1101,1135,479,1164,True,
maam Twilight said hotly,"bombed from the rear and poor Digger would have never made it back

The Masked Owls blinked Well well The large female chuffed and stepped nervously from one talon to another We just arent used to such aggressive behavior from our nestmaids Ours are rather meek I guess compared to thisWhat do you call her

Her name is Mrs Plithiver Soren said slowly and distinctly with the contempt in his voice poorly concealed

Yes yes the female replied nervously Well we discourage our nestmaids from socially mingling with us at any time really

That was hardly a party what happened up there in the sky maam Twilight said hotly",1136,1164,505,1164,False,
